                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4449,                 2.6958,                 1.5728,                0.67829,                0.65228,                0.70463,                0.34635,                 1.7189,                 1.6238,                 1.6487,               0.070032,              0.0033298,              0.0033298
                      1,                  1.381,                 1.8183,                 1.4842,                0.75643,                0.67698,                0.75945,                0.44261,                 1.4355,                 1.4815,                 1.4482,               0.039966,              0.0065971,              0.0065971
                      2,                 1.4657,                 1.8556,                 1.5461,                0.61838,                0.49136,                0.55452,                0.27405,                 1.8626,                 2.0706,                 1.9107,              0.0098341,              0.0097985,              0.0097985
                      3,                 1.4888,                  1.805,                 1.5737,                0.71499,                0.67874,                0.74316,                0.41689,                 1.4977,                 1.4889,                 1.5578,               0.009703,               0.009703,               0.009703
                      4,                 1.4131,                 1.5841,                  1.511,                0.79984,                0.74958,                0.83485,                0.46606,                 1.5916,                 1.1947,                 1.5472,               0.009703,               0.009703,               0.009703
                      5,                 1.3515,                 1.4471,                 1.4625,                0.87308,                0.82729,                0.88497,                0.51667,                 1.4571,                  1.026,                 1.4804,               0.009604,               0.009604,               0.009604
                      6,                 1.3232,                 1.3476,                 1.4473,                0.85861,                0.81587,                0.88934,                0.53946,                 1.4578,                  1.068,                 1.4304,               0.009505,               0.009505,               0.009505
                      7,                  1.293,                 1.2871,                 1.4167,                0.87672,                0.87428,                0.91046,                0.55348,                 1.4261,                0.90019,                 1.4273,               0.009406,               0.009406,               0.009406
                      8,                 1.2591,                 1.2038,                 1.3919,                 0.8993,                0.88161,                0.92393,                0.57773,                 1.3752,                0.86628,                 1.4011,               0.009307,               0.009307,               0.009307
                      9,                 1.2376,                 1.1521,                 1.3783,                0.89547,                0.83308,                0.91343,                0.52823,                 1.5074,                0.88737,                 1.4698,               0.009208,               0.009208,               0.009208
                     10,                 1.2126,                 1.1038,                  1.357,                0.87675,                0.88368,                 0.9169,                0.58457,                 1.3492,                0.81265,                 1.3719,               0.009109,               0.009109,               0.009109
                     11,                 1.1837,                 1.0653,                 1.3379,                0.91816,                0.86607,                0.91929,                0.58142,                 1.3754,                0.81961,                 1.3662,                0.00901,                0.00901,                0.00901
                     12,                  1.167,                 1.0382,                 1.3244,                0.91452,                0.90028,                0.93212,                0.59905,                 1.2528,                0.74554,                 1.3216,               0.008911,               0.008911,               0.008911
                     13,                 1.1408,                 1.0006,                 1.3006,                0.92912,                0.89062,                0.93905,                0.57319,                 1.4046,                0.73342,                 1.4125,               0.008812,               0.008812,               0.008812
                     14,                 1.1315,                 0.9855,                  1.297,                0.91521,                0.86567,                0.93492,                0.63131,                 1.2162,                0.72259,                 1.2768,               0.008713,               0.008713,               0.008713
                     15,                 1.1127,                0.93398,                 1.2855,                0.93438,                 0.8941,                0.94067,                0.61798,                 1.2456,                0.69591,                 1.3042,               0.008614,               0.008614,               0.008614
                     16,                 1.0964,                 0.9283,                 1.2747,                 0.9281,                 0.9179,                0.94701,                0.64052,                 1.2162,                0.66853,                 1.2737,               0.008515,               0.008515,               0.008515
                     17,                 1.0727,                0.89907,                 1.2559,                0.93742,                0.90395,                 0.9455,                0.64727,                 1.1734,                0.66388,                 1.2629,               0.008416,               0.008416,               0.008416
                     18,                 1.0727,                0.88738,                 1.2529,                0.94134,                0.86577,                0.94283,                0.64305,                 1.2133,                0.67515,                 1.2829,               0.008317,               0.008317,               0.008317
                     19,                 1.0654,                0.86653,                 1.2467,                0.93599,                 0.8889,                 0.9366,                0.66132,                 1.1523,                0.63807,                 1.2355,               0.008218,               0.008218,               0.008218
                     20,                 1.0513,                0.85516,                 1.2387,                 0.9523,                0.89984,                0.95283,                0.65998,                 1.1615,                0.62218,                 1.2478,               0.008119,               0.008119,               0.008119
                     21,                 1.0443,                0.84924,                 1.2312,                0.92247,                0.92501,                0.94929,                0.66794,                 1.1356,                0.61891,                 1.2262,                0.00802,                0.00802,                0.00802
                     22,                 1.0292,                 0.8336,                 1.2242,                0.95271,                0.91342,                0.95915,                0.68932,                 1.0469,                0.58009,                 1.1915,               0.007921,               0.007921,               0.007921
